Buy Price,Quantity,name,Weighted_Price,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date
83.0,30,BEL,2490.0,125.0,126.75,123.9,125.15,15471361,0.0,0.0,2023-06-20
734.0,5,Cipla,3670.0,1013.85,1018.8,1002.6,1011.15,1413571,0.0,0.0,2023-06-20
93.0,10,GAIL,930.0,107.9,108.7,106.75,108.25,11218628,0.0,0.0,2023-06-20
1074.0,1,HAL,1074.0,3899.0,3899.0,3800.0,3848.7,1946931,0.0,0.0,2023-06-20
924.0,2,HDFCBank,1848.0,1604.15,1611.0,1590.65,1607.5,10002813,0.0,0.0,2023-06-20
1652.0,3,HDFCBank,4956.0,1604.15,1611.0,1590.65,1607.5,10002813,0.0,0.0,2023-06-20
459.0,5,HDFCLife,2295.0,627.0,644.85,624.2,643.7,10400684,0.0,0.0,2023-06-20
1737.0,2,HDFC,3474.0,2653.95,2663.0,2631.4,2658.55,5495069,0.0,0.0,2023-06-20
2758.0,1,HDFC,2758.0,2653.95,2663.0,2631.4,2658.55,5495069,0.0,0.0,2023-06-20
60.0,100,HFCL,6000.0,68.7,69.05,67.1,68.15,6075220,0.0,0.0,2023-06-20
337.0,5,ICICIBank,1685.0,920.95,928.55,914.8,925.55,15212286,0.0,0.0,2023-06-20
633.0,5,ICICIBank,3165.0,920.95,928.55,914.8,925.55,15212286,0.0,0.0,2023-06-20
77.0,10,IOC,770.0,91.9,92.6,91.3,91.9,9394894,0.0,0.0,2023-06-20
859.0,2,IRCTC,1718.0,668.5,670.9,660.2,664.05,1519178,0.0,0.0,2023-06-20
271.0,10,IRCTC,2710.0,668.5,670.9,660.2,664.05,1519178,0.0,0.0,2023-06-20
1299.0,2,Infosys,2598.0,1294.0,1305.0,1291.1,1303.4,4009180,0.0,0.0,2023-06-20
682.0,2,Infosys,1364.0,1294.0,1305.0,1291.1,1303.4,4009180,0.0,0.0,2023-06-20
745.0,2,Infosys,1490.0,1294.0,1305.0,1291.1,1303.4,4009180,0.0,0.0,2023-06-20
1648.0,2,KotakBank,3296.0,1820.0,1847.0,1815.3,1844.0,4622905,0.0,0.0,2023-06-20
1400.0,1,L&T,1400.0,2364.95,2389.65,2354.45,2382.0,1771306,0.0,0.0,2023-06-20
