Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,name,Returns
75.23,76.06,74.71,75.36,12811437,0.0,0.0,2022-06-21,BEL,0.0
75.0,75.26,73.66,73.92,11056173,0.0,0.0,2022-06-22,BEL,-1.44
74.23,74.72,73.66,74.26,9004842,0.0,0.0,2022-06-23,BEL,0.34
74.94,76.56,74.72,76.42,9668958,0.0,0.0,2022-06-24,BEL,2.16
76.92,78.98,76.82,78.57,14977953,0.0,0.0,2022-06-27,BEL,2.15
78.37,78.72,76.85,77.39,9497565,0.0,0.0,2022-06-28,BEL,-1.18
76.88,77.8,76.65,77.28,20182623,0.0,0.0,2022-06-29,BEL,-0.11
77.08,78.29,75.87,76.62,19573899,0.0,0.0,2022-06-30,BEL,-0.66
76.26,77.08,74.38,75.21,15324042,0.0,0.0,2022-07-01,BEL,-1.41
74.85,76.15,74.28,75.18,13538427,0.0,0.0,2022-07-04,BEL,-0.03
75.87,76.88,74.66,75.02,14922519,0.0,0.0,2022-07-05,BEL,-0.16
75.21,75.84,73.36,75.62,21103464,0.0,0.0,2022-07-06,BEL,0.6
75.77,77.85,75.64,77.46,19351467,0.0,0.0,2022-07-07,BEL,1.84
77.93,79.35,76.41,77.24,21179418,0.0,0.0,2022-07-08,BEL,-0.22
77.18,78.03,76.52,76.83,10090566,0.0,0.0,2022-07-11,BEL,-0.41
76.42,77.5,75.34,76.02,12953874,0.0,0.0,2022-07-12,BEL,-0.81
75.9,77.01,75.61,76.41,12866319,0.0,0.0,2022-07-13,BEL,0.39
76.59,77.88,76.47,77.7,16879224,0.0,0.0,2022-07-14,BEL,1.29
77.73,80.74,77.7,80.35,24300105,0.0,0.0,2022-07-15,BEL,2.65
81.74,85.36,81.55,83.28,114055476,0.0,0.0,2022-07-18,BEL,2.93
83.0,84.66,82.5,83.51,30352653,0.0,0.0,2022-07-19,BEL,0.23
84.48,84.61,82.81,83.43,16157313,0.0,0.0,2022-07-20,BEL,-0.08
83.46,88.34,83.27,87.95,56209248,0.0,0.0,2022-07-21,BEL,4.52
88.32,88.4,86.87,87.32,28925541,0.0,0.0,2022-07-22,BEL,-0.63
88.27,89.81,87.73,88.39,27481563,0.0,0.0,2022-07-25,BEL,1.07
88.62,88.7,86.08,87.36,16387791,0.0,0.0,2022-07-26,BEL,-1.03
87.8,89.63,87.65,89.4,26434413,0.0,0.0,2022-07-27,BEL,2.04
